Designator,Mid X,Mid Y,Rotation,Layer
_47,149.3125,-101.0,0.0,top
_46,127.7125,-101.0,0.0,top
_45,167.3125,-101.0,0.0,top
_44,120.5125,-101.0,0.0,top
_43,170.9125,-101.0,0.0,top
_42,163.7125,-101.0,0.0,top
_41,131.3125,-101.0,0.0,top
_40,142.1125,-101.0,0.0,top
_39,156.5125,-101.0,0.0,top
_38,138.5125,-101.0,0.0,top
_37,178.1,-101.0,0.0,top
_36,113.3125,-101.0,0.0,top
_35,152.9125,-101.0,0.0,top
_34,160.1125,-101.0,0.0,top
_33,124.1125,-101.0,0.0,top
_32,174.5125,-101.0,0.0,top
_31,145.7125,-101.0,0.0,top
_30,116.9125,-101.0,0.0,top
_29,134.9125,-101.0,0.0,top
C1,167.875,-59.575,0.0,top
C10,171.375,-59.075,180.0,top
C11,160.5,-58.905,180.0,top
C12,171.375,-60.825,180.0,top
C13,160.575,-60.575,180.0,top
C14,140.125,-57.9275,90.0,top
C15,138.999,-68.6,0.0,top
C16,137.125,-57.9475,90.0,top
C17,147.8,-59.5625,90.0,top
C18,151.8,-59.5625,270.0,top
C19,146.8,-59.5625,270.0,top
C2,156.825,-59.575,0.0,top
C20,146.05,-62.5625,0.0,top
C21,146.05,-63.5625,0.0,top
C22,117.4375,-62.75,135.0,top
C23,118.125,-62.0625,135.0,top
C24,125.75,-70.6875,315.0,top
C25,119.6875,-68.375,225.0,top
C26,120.901911,-69.723089,45.0,top
C27,124.975,-58.825,45.0,top
C28,122.5,-70.9375,225.0,top
C29,134.8513,-79.468701,180.0,top
C3,132.975,-60.85,180.0,top
C30,144.5813,-79.093701,270.0,top
C31,126.475,-60.325,45.0,top
C32,140.6438,-91.906201,90.0,top
C33,141.6438,-91.863701,90.0,top
C34,119.1,-74.325,225.0,top
C35,117.605,-75.825,45.0,top
C36,128.215,-74.705,135.0,top
C37,127.598609,-84.932622,45.0,top
C38,117.725,-85.575,315.0,top
C39,128.6,-90.4,0.0,top
C4,133.0,-64.25,180.0,top
C40,125.725,-92.825,270.0,top
C41,128.975,-60.575,45.0,top
C42,128.25,-59.875,225.0,top
C43,120.223089,-59.910589,135.0,top
C44,141.0813,-73.218701,180.0,top
C45,134.9813,-77.406201,180.0,top
C46,134.9813,-76.406201,0.0,top
C47,144.5813,-81.113701,90.0,top
C48,146.8938,-77.381201,0.0,top
C5,132.975,-65.35,180.0,top
C6,164.125,-63.825,90.0,top
C7,153.075,-63.45,90.0,top
C8,168.625,-65.075,180.0,top
C9,157.825,-65.075,180.0,top
D1,113.6875,-65.75,45.0,top
D10,152.9,-83.95,0.0,top
D11,154.9,-83.95,0.0,top
D12,156.9,-83.95,0.0,top
D13,158.9,-83.95,0.0,top
D14,160.9,-83.95,0.0,top
D15,162.9,-83.95,0.0,top
D16,146.9,-86.45,0.0,top
D17,148.9,-86.45,0.0,top
D18,150.9,-86.45,0.0,top
D19,152.9,-86.45,0.0,top
D2,166.3125,-57.575,0.0,top
D20,154.9,-86.45,0.0,top
D21,156.9,-86.45,0.0,top
D22,158.9,-86.45,0.0,top
D23,160.9,-86.45,0.0,top
D24,162.9,-86.45,0.0,top
D25,146.9,-88.95,0.0,top
D26,148.9,-88.95,0.0,top
D27,150.9,-88.95,0.0,top
D28,152.9,-88.95,0.0,top
D29,154.9,-88.95,0.0,top
D3,155.4375,-57.575,0.0,top
D30,156.9,-88.95,0.0,top
D31,158.9,-88.95,0.0,top
D32,161.0,-88.95,0.0,top
D33,162.9,-88.95,0.0,top
D34,146.9,-91.45,0.0,top
D35,148.9,-91.45,0.0,top
D36,150.9,-91.45,0.0,top
D37,152.9,-91.45,0.0,top
D38,154.9,-91.45,0.0,top
D39,156.9,-91.45,0.0,top
D4,143.6,-58.3125,90.0,top
D40,158.9,-91.45,0.0,top
D41,160.9,-91.45,0.0,top
D42,162.9,-91.45,0.0,top
D43,146.9,-93.95,0.0,top
D44,148.9,-93.95,0.0,top
D45,150.9,-93.95,0.0,top
D46,152.9,-93.95,0.0,top
D47,154.9,-93.95,0.0,top
D48,156.9,-93.95,0.0,top
D49,158.9,-93.95,0.0,top
D5,145.35,-58.3125,90.0,top
D50,160.9,-93.95,0.0,top
D51,162.9,-93.95,0.0,top
D52,164.9,-83.95,0.0,top
D53,164.9,-86.45,0.0,top
D54,164.9,-88.95,0.0,top
D55,164.9,-91.45,0.0,top
D56,164.9,-93.95,0.0,top
D57,170.9,-83.95,0.0,top
D58,170.9,-86.45,0.0,top
D59,170.9,-88.95,0.0,top
D6,114.475,-71.075,90.0,top
D60,170.9,-91.45,0.0,top
D61,166.9,-83.95,0.0,top
D62,166.9,-86.45,0.0,top
D63,166.9,-88.95,0.0,top
D64,166.9,-91.45,0.0,top
D65,166.9,-93.95,0.0,top
D66,170.9,-93.95,0.0,top
D67,172.9,-83.95,0.0,top
D68,172.9,-86.45,0.0,top
D69,168.9,-83.95,0.0,top
D7,146.9,-83.95,0.0,top
D70,168.9,-86.45,0.0,top
D71,168.9,-88.95,0.0,top
D72,168.9,-91.45,0.0,top
D73,168.9,-93.95,0.0,top
D74,172.9,-88.95,0.0,top
D75,172.9,-91.45,0.0,top
D76,172.9,-93.95,0.0,top
D77,184.4375,-54.5625,135.0,top
D78,105.7688,-58.906201,45.0,top
D79,108.611747,-56.063254,225.0,top
D8,148.9,-83.95,0.0,top
D80,107.175853,-57.499148,225.0,top
D81,134.3438,-82.256201,90.0,top
D9,150.9,-83.95,0.0,top
F1,133.6125,-57.5625,180.0,top
J1,103.2238,-105.093701,90.0,top
J3,177.0538,-105.093701,90.0,top
J4,113.4388,-105.093701,90.0,top
L1,171.625,-63.575,180.0,top
L2,160.825,-63.325,180.0,top
Q2,176.0813,-61.731201,90.0,top
Q3,177.2313,-65.031201,0.0,top
R1,165.375,-60.565,90.0,top
R10,154.075,-63.45,90.0,top
R11,132.975,-61.95,0.0,top
R12,141.1,-68.575,180.0,top
R13,119.5,-60.625,135.0,top
R14,168.775,-58.325,180.0,top
R15,157.965,-58.325,180.0,top
R16,148.8,-59.5625,270.0,top
R17,149.8,-59.5625,270.0,top
R18,146.05,-61.5625,180.0,top
R19,141.1338,-69.843701,180.0,top
R2,154.225,-60.315,90.0,top
R20,141.1,-70.95,180.0,top
R21,141.0813,-72.156201,180.0,top
R22,146.05,-65.5625,0.0,top
R23,146.05,-64.5625,0.0,top
R24,150.8,-59.5625,270.0,top
R25,135.975,-91.94,270.0,top
R26,118.8125,-61.375,135.0,top
R27,178.3938,-89.718701,0.0,top
R28,121.610624,-70.389376,45.0,top
R29,145.25,-68.24,90.0,top
R3,141.125,-57.9275,270.0,top
R30,146.25,-68.24,270.0,top
R31,121.125,-92.125,315.0,top
R32,128.735624,-64.201876,45.0,top
R33,125.725,-59.575,45.0,top
R34,138.0088,-72.156201,0.0,top
R35,138.0088,-73.218701,0.0,top
R36,127.985624,-63.441876,45.0,top
R37,129.629424,-59.204325,135.0,top
R38,142.7063,-91.833701,270.0,top
R39,126.6,-90.4,0.0,top
R4,142.125,-57.9275,90.0,top
R40,179.2688,-62.406201,90.0,top
R41,180.5188,-62.406201,90.0,top
R42,179.8938,-64.343701,270.0,top
R43,180.9563,-64.343701,90.0,top
R44,132.375,-68.8125,45.0,top
R45,133.5,-69.9375,45.0,top
R46,132.99,-63.125,0.0,top
R47,132.975,-66.475,0.0,top
R48,138.0188,-74.281201,180.0,top
R49,136.7938,-78.781201,0.0,top
R5,139.125,-57.9275,90.0,top
R50,134.3413,-83.718701,180.0,top
R51,133.4813,-76.958701,90.0,top
R52,134.3413,-84.718701,180.0,top
R53,144.8938,-82.968701,180.0,top
R54,178.8313,-64.343701,270.0,top
R55,139.3938,-91.896201,270.0,top
R6,138.125,-57.9275,90.0,top
R7,166.625,-65.075,180.0,top
R8,155.825,-65.075,180.0,top
R9,165.125,-63.825,90.0,top
SW1,145.7375,-72.681201,180.0,top
SW2,134.3313,-87.718701,180.0,top
SW3,179.5813,-86.6875,0.0,top
SW4,108.9813,-80.75,180.0,top
TP4,186.75,-52.25,0.0,top
TP5,186.75,-98.75,0.0,top
U1,105.99981,-55.99179,135.0,bottom
U10,122.825,-80.085,225.0,top
U11,128.35,-93.2,90.0,top
U12,141.0813,-77.531201,0.0,top
U2,167.74895,-62.4995,0.0,top
U3,156.825,-62.54865,0.0,top
U4,122.42448,-58.670926,135.0,top
U5,138.529,-63.725,270.0,top
U6,149.725,-63.3125,180.0,top
U7,123.41,-65.64,315.0,top
U8,146.8688,-80.081201,270.0,top
U9,141.475,-88.075,90.0,top
Y1,127.314411,-61.485589,135.0,top
Y2,136.8563,-76.793701,90.0,top
